电影名,详情页,豆瓣评分,封面图片
肖申克的救赎,https://movie.douban.com/subject/1292052/,9.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,https://movie.douban.com/subject/1291546/,9.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
阿甘正传,https://movie.douban.com/subject/1292720/,9.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
泰坦尼克号,https://movie.douban.com/subject/1292722/,9.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896604953.jpg
这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
千与千寻,https://movie.douban.com/subject/1291561/,9.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
美丽人生,https://movie.douban.com/subject/1292063/,9.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
星际穿越,https://movie.douban.com/subject/1889243/,9.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
盗梦空间,https://movie.douban.com/subject/3541415/,9.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
辛德勒的名单,https://movie.douban.com/subject/1295124/,9.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
楚门的世界,https://movie.douban.com/subject/1292064/,9.4,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
海上钢琴师,https://movie.douban.com/subject/1292001/,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
放牛班的春天,https://movie.douban.com/subject/1291549/,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg
机器人总动员,https://movie.douban.com/subject/2131459/,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
疯狂动物城,https://movie.douban.com/subject/25662329/,9.2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589742.jpg
无间道,https://movie.douban.com/subject/1307914/,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
控方证人,https://movie.douban.com/subject/1296141/,9.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,https://movie.douban.com/subject/5912992/,9.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
教父,https://movie.douban.com/subject/1291841/,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
触不可及,https://movie.douban.com/subject/6786002/,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
当幸福来敲门,https://movie.douban.com/subject/1849031/,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg
末代皇帝,https://movie.douban.com/subject/1293172/,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
寻梦环游记,https://movie.douban.com/subject/20495023/,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589968.jpg
龙猫,https://movie.douban.com/subject/1291560/,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
怦然心动,https://movie.douban.com/subject/3319755/,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
活着,https://movie.douban.com/subject/1292365/,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,9.2,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
我不是药神,https://movie.douban.com/subject/26752088/,9.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
乱世佳人,https://movie.douban.com/subject/1300267/,9.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
飞屋环游记,https://movie.douban.com/subject/2129039/,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589700.jpg
素媛,https://movie.douban.com/subject/21937452/,9.3,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
十二怒汉,https://movie.douban.com/subject/1293182/,9.4,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
何以为家,https://movie.douban.com/subject/30170448/,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
让子弹飞,https://movie.douban.com/subject/3742360/,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
